venue,hindex
ehealth,2
eik,1
eiswt,1
eit,4
ejc,2
ejis,4
ejor,13
ejso,1
ekaw,8
ekoloji,1
eksploatacja i niezawodnosc maintenance and reliability,1
elearn,1
elec eng jpn,2
elec power syst res,5
elect stud,1
electr eng,4
electr power compon syst,3
electricity journal,1
electrochem commun,2
electroencephalography and clinical neurophysiology,2
electroencephalography and clinical neurophysiology electromyography and motor control,1
electromagn biol med,1
electromagnetics,3
electron commun jpn i,1
electron commun jpn ii,2
electron commun jpn iii,2
electron j biotechnol,1
electron j probab,1
electron lett,5
electron mater lett,1
electronic communications in probability,3
electronic journal of combinatorics,1
electronic journal of knowledge management,1
electronic journal of statistics,6
electronic letters on computer vision and image analysis,7
electronic library,3
electronic proceedings in theoretical computer science,4
electronics,3
electronics and communications in japan,3
electrophoresis,1
elektronika ir elektrotechnika,2
elpub,4
em,5
embc,8
embo j,1
embo mol med,1
embryologia,1
emeit,4
emerg infect dis,1
emerg mark financ trade,1
emerg med j,1
emerg themes epidemiol,1
emergency medicine international,1
emerging health threats journal,1
emerging markets review,1
emisa,2
emmcvpr,13
emnlp,36
emotion,1
emotion review,1
empir econ,2
empirica,1
empirical studies of the arts,1
employee relations,1
employment relations today,1
emsoft,2
enase,2
enc,5
endangered species research,1
endeavour,1
endm,8
endocr related cancer,1
energ bldg,5
energ conv manage,5
energ econ,3
energ explor exploit,1
energ fuel,1
energ policy,3
energies,4
energy and power engineering,2
energy efficiency,3
energy environment,1
energy for sustainable development,1
energy j,1
energy procedia,3
energy sources part a recovery utilization and environmental effects,2
energy sources part b,2
energy systems,3
enfance,1
eng anal bound elem,2
eng computations,5
eng fail anal,2
eng geol,3
eng optimiz,5
eng struct,3
engineering,3
engineering analysis,1
engineering applications of computational fluid mechanics,1
engineering construction and architectural management,3
engineering costs and production economics,2
engineering journal,3
engineering letters,3
engineering management journal,2
engl specif purp,1
english language linguistics,1
english studies,2
english world wide,1
entcs,8
enter,2
enterp inf syst,5
entertainment computing,4
entomol exp appl,1
entrep reg dev,1
entrep theory pract,1
entropy,7
environ behav,1
environ commun,1
environ conserv,1
environ earth sci,4
environ ecol stat,3
environ educ res,1
environ eng sci,2
environ entomol,1
environ exp bot,1
environ fluid mech,1
environ forensics,1
environ geochem health,1
environ health,2
environ health perspect,1
environ impact assess rev,2
environ int,3
environ manage,3
environ microbiol,1
environ model assess,2
environ monit assess,4
environ plan a,1
environ plan b plan design,2
environ polit,1
environ pollut,2
environ prog,2
environ res,2
environ res lett,1
environ resour econ,1
environ sci eur,1
environ sci policy,2
environ sci pollut res,3
environ sci technol,1
environ technol,1
environ toxicol chem,1
environ value,1
environment development and sustainability,1
environmental bioindicators,1
environmental engineering research,1
environmental policy and governance,1
environmental science processes impacts,1
environmental software,2
environmentalist,1
environmetrics,2
envsoft,8
enzyme microb technol,1
eos transactions,1
epia,9
epidemics,1
epidemiol infect,1
epidemiol perspect innov,1
epidemiologic rev,1
epidemiology,1
epilepsia,2
epilepsy behav,3
epilepsy res,2
episteme,2
epj web of conferences,2
epl (europhysics letters),1
epma journal,1
epodd,1
equality diversity and inclusion an international journal,1
er,5
ercim,1
ergonomics,2
ergonomics in design the quarterly of human factors applications,1
erkenntnis,4
esa,4
esaim control optim calc var,2
esaim probability and statistics,3
esaim proceedings,2
esann,9
ese,5
esem,3
esiat,3
esop,4
esorics,4
esscirc,2
estimedia,3
estonian journal of ecology,1
estonian journal of engineering,1
estuar coast shelf sci,2
estuaries coasts,1
eswa,23
eswc,7
etai,4
etelemed,1
etfa,6
ethical theory and moral practice,1
ethics,1
ethics behav,1
ethics in science and environmental politics,1
ethics inf technol,2
ethol ecol evol,1
ethology,1
ethos,1
etri j,7
ets,4
ett,3
etx,1
euc,3
eukaryot cell,1
eumas,6
euphytica,2
eur account rev,1
eur arch oto rhino laryngol,2
eur arch psychiat clin neuros,1
eur biophys j biophys lett,1
eur cells mater,1
eur child adolesc psychiatr,2
eur econ rev,2
eur food res technol,2
eur heart j,1
eur j agron,1
eur j appl math,1
eur j cancer,2
eur j cardio thorac surg,1
eur j cardiovasc nurs,3
eur j cell biol,1
eur j cogn psychol,2
eur j control,6
eur j dent educ,1
eur j echocardiogr,1
eur j educ,1
eur j endocrinology,1
eur j environ civ eng,1
eur j epidemiol,1
eur j financ,4
eur j for res,1
eur j gastroenterol hepatol,1
eur j haematol,1
eur j health econ,1
eur j human genet,1
eur j immunol,1
eur j ind eng,1
eur j intern med,1
eur j law econ,1
eur j mark,4
eur j mech a solid,3
eur j med chem,1
eur j neurosci,5
eur j nucl med,2
eur j obstet gyn reprod biol,1
eur j oncol nurs,1
eur j orthodont,1
eur j orthop surg traumatol,1
eur j paediatr neurol,1
eur j pain,1
eur j pediat,1
eur j personality,1
eur j pharm biopharm,1
eur j pharm sci,2
eur j pharmacol,1
eur j phys,1
eur j plant pathology,1
eur j polit econ,1
eur j pop,1
eur j psychol assess,1
eur j psychol educ,2
eur j public health,1
eur j radiol,2
eur j soc psychol,2
eur j soil sci,1
eur j sport sci,2
eur j transp infrastruct res,1
eur j vasc endovasc surg,1
eur j work organ psychol,1
eur manag j,2
eur neurol,1
eur neuropsychopharmacol,1
eur phys j,2
eur phys j a,1
eur phys j appl phys,1
eur phys j b,3
eur phys j d,1
eur phys j e,1
eur phys j spec top,4
eur plan stud,1
eur polym j,1
eur psychiat,2
eur psychol,1
eur resp j,1
eur rev agric econ,1
eur rev soc psychol,1
eur spine j,1
eur sport manag q,2
eur trans electr power,3
eur urol,1
eurasip j image video process,15
eurasip j wirel commun netw,3
eurasip journal on audio speech and music processing,9
eurasip journal on bioinformatics and systems biology,4
eurasip journal on embedded systems,5
eurasip journal on information security,4
eureka,2
euro par,1
euro-par,3
eurobot,5
eurocast,6
eurocg,1
eurocon,5
eurocrypt,1
eurogp,7
euroimsa,2
eurointervention,1
euroitv,2
euromed journal of business,1
european business review,2
european geriatric medicine,1
european journal of economic and social systems,2
european journal of engineering education,2
european journal of general practice,1
european journal of innovation management,1
european journal of integrative medicine,1
european journal of medical research,1
european journal of philosophy,1
european journal of purchasing supply management,1
european journal of ultrasound,1
european management review,1
european review,1
european transport research review,2
europki,1
eurosec,1
eurossc,3
eurosurveillance,1
eurosys,3
eval program plann,2
evaluation rev,1
evid based complement altern,3
evobio,5
evol appl,1
evol ecol,1
evol ecol res,1
evol hum behav,1
evolution,1
evolution education and outreach,1
evolution of communication,1
evolutionary bioinformatics,3
evolutionary biology,1
evolutionary intelligence,12
evolving systems,9
ewc,6
exact,3
excli journal,1
exp appl acarol,1
exp astron,3
exp brain res,3
exp cell res,1
exp clin psychopharmacol,1
exp econ,1
exp fluid,6
exp gerontol,1
exp hematol,1
exp mech,4
exp mol med,1
exp neurol,2
exp psychol,2
exp tech,2
exp therm fluid sci,1
exp toxicol pathol,1
experientia,1
experimental and therapeutic medicine,1
expert,11
expert opin drug deliv,1
expert opinion on medical diagnostics,1
expert rev anticancer ther,1
expert rev med devices,2
expert rev mol diagn,1
expert rev neurother,1
expert rev proteomics,1
expert review of cardiovascular therapy,1
expert review of clinical pharmacology,1
expert review of gastroenterology hepatology,1
explor geophys,1
expo math,1
extremes,1
eye,1
eye contact lens sci clin pra,1
fabula,1
fac,4
facial plastic surgery clinics of north america,1
facilities,2
facta universitatis series architecture and civil engineering,1
facta universitatis series physics chemistry and technology,1
faith and philosophy,1
fam bus rev,1
fase,3
faseb j,1
fatigue fract eng mater struc,1
fccm,5
fcst,4
fct,4
fdg,4
fdl,1
febs j,2
febs lett,2
fedcsis,6
fem econ,2
fems microbiol rev,1
ferroelectrics,2
fert steril,3
feuill radiol,1
ffa,1
fgcs,9
fiber integrated opt,1
fiber polym,3
fibres textiles in eastern europe,1
field crop res,1
field method,1
film history an international journal,1
filomat,2
filtr sep,3
filtration industry analyst,1
finan manage,1
financ account manag,1
financ res lett,1
finance and stochastics,1
financial markets and portfolio management,1
finite elem anal design,3
fire mater,1
fire safety j,4
fire safety science,1
fire technol,3
first break,1
firstmonday,2
fish fish,1
fish physiology,1
fish res,3
fisheries manag ecol,1
fisheries oceanogr,1
fisheries science,1
fixed point theory appl,1
flairs,10
flex serv manuf j,4
flops,4
flow meas instrum,3
flow turbul combust,1
fluct noise lett,2
fluid dyn res,1
fluid phase equilibria,4
fm,7
fmcad,4
fmics,2
fmoods,2
fmsd,4
foci,6
focm,5
focs,6
focus on catalysts,1
focus on powder coatings,1
foga,7
foiks,9
fois,5
folia geobot,1
folia histochem cytobiol,1
folia linguist,1
folia microbiologica,1
folia oeconomica stetinensia,2
folklore,1
fontes artis musicae,1
food addit contam part a ch,1
food anal meth,2
food bioprocess technol,4
food bioprod process,1
food chem,4
food chem toxicol,2
food control,3
food economics acta agriculturae scandinavica section c,1
food hydrocolloid,1
food manufacturing efficiency,1
food microbiol,2
food nutr bull,1
food nutrition research,1
food policy,1
food qual preference,3
food res int,2
food sci biotechnol,1
food sci technol int,1
food technology and biotechnology,1
foodborne pathog dis,1
foot and ankle clinics,1
footwear science,1
foreign lang ann,1
forensic sci int,6
forensic sci int genet,2
forensic sci med pathol,2
forensic science international genetics supplement series,1
forensic science policy management an international journal,1
foresight,2
forest ecol manage,2
forest policy econ,2
forest science,1
forestry,2
forestry chronicle,1
forests,2
formalized mathematics,1
formats,2
forsch ingenieurw,2
forstwiss centralbl,1
forte,3
forum for social economics,1
forum math,2
fossacs,2
found phys,1
found phys lett,1
found sci,4
foundations and trends in marketing,2
foundations and trends in technology information and operations management,1
foundations and trends in web science,3
fpga,4
fpl,5
fps,2
fpt,3
fqas,7
fractals,1
fractional calculus and applied analysis,1
fragblast,1
free radical biol med,1
french politics,1
frequenz,1
fresenius j anal chem,1
freshwater biol,2
frocos,7
front biosci,1
front ecol environ,1
front environ sci eng china,1
front math china,3
front neuroendocrinol,1
front zool,2
frontiers in aging neuroscience,3
frontiers in behavioral neuroscience,4
frontiers in cellular neuroscience,2
frontiers in computational neuroscience,9
frontiers in evolutionary neuroscience,1
frontiers in integrative neuroscience,2
frontiers in molecular neuroscience,1
frontiers in neural circuits,4
frontiers in neuroanatomy,2
frontiers in neuroengineering,2
frontiers in neuroinformatics,6
frontiers in neurology,2
frontiers in neurorobotics,9
frontiers in neuroscience,8
frontiers in pharmacology,1
frontiers in psychiatry,2
frontiers in psychology,10
frontiers in synaptic neuroscience,2
frontiers in systems neuroscience,4
frontiers of chemical engineering in china,1
frontiers of computer science in china,9
frontiers of earth science in china,1
frontiers of electrical and electronic engineering in china,9
frontiers of forestry in china,1
frontiers of mechanical engineering in china,3
frontiers of medicine in china,1
frontiers of optoelectronics in china,1
frontiers of philosophy in china,1
fse,5
fsen,2
fskd,9
fsmnlp,7
fsr,6
fss,19
fsttcs,4
ftcgv,12
ftdb,1
fthci,4
ftir,10
ftnet,1
fttcs,1
fuel,3
fuel and energy abstracts,4
fuel process technol,3
fuin,13
fuller nanotub carbon nanostr,1
fun,2
funct anal appl engl tr,1
funct integr genomics,1
funct plant biol,2
fungal biology,1
fungal ecol,1
fungal genet biol,1
fusion eng des,3
fusion sci technol,2
future cardiology,1
future internet,2
future med chem,1
future neurology,1
future oncol,1
futures,3
fuzzy information and engineering,6
fuzzy optim decis mak,6
g3 genes genomes genetics,3
gait posture,4
game cult,1
game econ behav,6
games,1
gaming law review,1
gamm mitteilungen,2
gastric cancer,1
gastroenterology,2
gastroenterology research and practice,1
gastrointest endoscop,2
gastrointestinal endoscopy clinics,1
gayana,1
gcb,1
gcc,4
gce,1
gd,3
gecco,29
gecon,3
gefasschirurgie,1
gem international journal on geomathematics,2
gene,2
gene chromosome cancer,1
gene develop,1
gene expr patterns,1
genes immun,1
genes nutr,1
genesis,1
genet epidemiol,1
genet med,1
genet mol biol,2
genet mol res,2
genet res,1
genet resour crop evolution,1
genet soc gen psychol monogr,1
genetica,1
geneva pap risk insur iss pr,1
genome biol,5
genome biol evol,1
genome med,3
genome res,4
genomics,4
genomics proteomics bioinformatics,2
geo information science,1
geo mar lett,1
geo spatial information science,4
geoarchaeology,1
geochem explor environ anal,1
geochim cosmochim acta,1
geoderma,3
geofisica internacional,1
geoforum,1
geogr anal,3
geogr ann ser a phys geogr,1
geogr res,1
geographical and environmental modelling,2
geographical review,1
geoheritage,1
geoinfo,2
geoinformatica,5
geojournal,3
geol j,1
geologica belgica,1
geological society london special publications,1
geom dedic,1
geom funct anal,1
geomatics natural hazards and risk,2
geomechanics and geoengineering,1
geomorphology,4
geophys j int,3
geophys prospect,3
geophysics,3
georisk assessment and management of risk for engineered systems and geohazards,2
geosci j,2
geoscientific model development,1
geoscientific model development discussions,1
geospatial health,1
geosphere,1
geosynth int,1
geotech testing j,1
geotext geomembrane,1
geothermics,1
ger econ rev,1
gerontechnology,3
gerontologist,1
gerontology,1
geropsych the journal of gerontopsychology and geriatric psychiatry,1
gestion y politica publica,1
ginekologia polska,1
gir,5
gis,9
gisci remote sens,3
giscience,4
glasgow math j,1
glob change biol,2
global biogeochem cycle,1
global bus econ rev,1
global crime,1
global ecol biogeogr,1
global economic review,1
global environ change,2
global finance journal,1
global planet change,2
global public health,1
globe,1
globecom,4
glsvlsi,3
gmai,4
gmp,4
gondwana res,1
govt inform quart,4
gpc,3
gpce,3
gpem,12
gps solut,3
graef arch clin exp ophthal,1
grammars,3
grana,1
granul matter,2
graphite,2
graphs and combinatorics,1
grapp,3
grc,7
grec,9
green chem,1
grid,5
groundwater,1
group decis negotiation,11
group dyn theory res pract,1
group organ manage,1
growth change,1
grundwasser,1
gruppendynamik organ,1
gsa today,1
gse,2
gsn,2
gut,1
gut pathog,1
gynaecol endosc,1
gynecol oncol,1
gyroscopy and navigation,4
habitat int,1
hacettepe journal of mathematics and statistics,1
haemophilia,1
hais,9
hand,1
hand clin,1
handbook of behavioral neuroscience,3
handbook of business strategy,1
handbook of clinical neurology,1
handbook of computational economics,4
handbook of econometrics,1
handbook of game theory with economic applications,4
handbook of numerical analysis,3
handbook of statistics,12
harmful algae,1
harvard rev psychiatr,1
hase,4
haskell,2
hastings center report,1
head neck,1
health,1
health care management science,3
health care women int,1
health commun,1
health economics,1
health educ res,1
health expect,1
health information libraries journal,1
health information management journal,1
health marketing quarterly,1
health place,1
health policy,2
health qual life outcomes,1
health res policy sys,1
health risk soc,1
health serv res,1
health services and outcomes research methodology,1
health technology assessment,1
healthcare informatics research,2
healthcare management forum,1
healthinf,1
hear res,2
heart,1
heart lung circ,1
heart rhythm,4
heat mass transfer,1
heat transfer eng,2
hellenic journal of nuclear medicine,1
hematol oncol clin n amer,1
hepatol int,1
hepatology,1
hercma,1
herd health environments research design journal,1
heredity,1
herpetologica,1
hesperia,1
heuristics,12
hfsp j,4
hicss,10
high abil stud,1
high educ res dev,1
high energy density physics,1
higher brain function research,1
higher educ,1
higher education quarterly,1
higher order and symbolic computation lisp and symbolic computation,2
hij,2
himalayan journal of sciences,1
hipc,6
hipeac,1
hippocampus,3
hist rec aust sci,1
histochemie,2
histol histopathol,1
histopathology,1
historical methods,1
history and philosophy of logic,1
history and philosophy of the life sciences,1
hldvt,3
hmd,2
hno,1
hokkaido math j,1
holocaust and genocide studies,1
holocene,1
holz als roh und werkstoff,2
holzforschung,1
homo,1
hormone behav,1
hortscience,1
horttechnology,1
hospital topics,1
hospitality review,1
host,1
hoti,1
hotnets,2
hous policy debate,1
housing stud,1
howard journal of communications,1
hpca,2
hpcc,5
hpcncs,1
hpcs,2
hpdc,3
hpsr,1
hrc j high res chromatogr,1
hri,9
hum biol,1
hum brain mapp,4
hum commun res,2
hum develop,2
hum ecol,1
hum ecol risk assessment,2
hum factors,3
hum factors ergonom manuf ser,2
hum genet,1
hum hered,1
hum immunol,1
hum mol genet,2
hum movement sci,5
hum mutat,1
hum organ,1
hum pathol,2
hum relat,1
hum reprod,1
hum reprod update,1
hum resour health,1
hum resour manage,1
hum stud,1
human affairs,1
human dimensions of wildlife,1
human evolution,1
human factors in information technology,1
human physiology,2
human resource development international,1
human resource development quarterly,1
human resource development review,1
human resource management journal,1
human resource management rev,2
humanoids,10
humanomics,1
humor,2
husserl studies,1
hvac r research,1
hvc,4
hydrobiologia,3
hydrogeol j,4
hydrol earth syst sci,3
hydrol process,4
hydrolog sci j,4
hydrology and earth system sciences discussions,1
hydrology research,1
hydrometallurgy,2
hypertension,1
i perception,2
i3d,5
ia,9
iaai,6
iajit,5
ialp,8
iandc,10
iatss research,1
ibis,2
ibmrd,7
ibmsj,5
ibpria,11
ibusiness,2
ic3,7
ica3pp,4
icaart,7
icac,5
icad,2
icadl,5
icail,7
icais,5
icaisc,9
ical,7
icalp,5
icalt,4
icann,23
icannga,6
icaps,14
icara,4
icarcv,11
icaris,5
icarus,2
icas,4
icassp,12
icb,20
icbbe,5
icc,6
icca,8
iccabs,2
iccad,5
iccbr,20
iccci,6
icccn,6
iccd,3
icce,2
iccl,3
iccm,3
iccms,3
iccpol,8
iccps,3
iccs,9
iccsa,8
iccta,6
iccv,36
iccvg,7
icdar,19
icdcit,3
icdcn,2
icdcs,4
icde,7
icdim,5
icdke,16
icdm,15
icds,3
icdsc,12
icdt,6
ice b,4
icebe,4
iceccs,3
icee,5
iceei,5
iceis,6
icer,1
ices,4
ices j mar sci,2
icess,3
icetc,2
icete,2
icfca,6
icfem,3
icfhr,9
icfie,3
icfp,3
icga journal,4
icgec,5
icgi,5
icgse,2
icgt,2
ichit,5
ichl,1
iciap,12
iciar,12
icic,10
icicic,6
icics,7
icids,6
icig,11
icinco,6
icip,16
icira,9
icis,6
icisc,3
iciso,2
icisp,8
iciss,3
icits,1
iciw,3
iclp,12
icmai,2
icmcs,5
icme,11
icmens,2
icmi,12
icml,30
icmla,10
icmlc,10
icmr,17
icms,2
icmt,5
icn,3
icnp,2
icns,1
icnsc,6
icoin,2
icom,4
icon,4
iconip,22
icons,7
icores,1
icost,5
icpads,4
icpc,3
icpe,2
icpp,4
icpr,26
icpram,6
icps,2
icpw,1
icra,30
ics,3
icsap,3
icsc,8
icsdm,1
icse,7
icsea,3
icseng,4
icsi,6
icsipa,5
icsm,3
icsnc,1
icsob,1
icsoc,4
icsoft,3
icst,5
ict,5
icta,1
ictac,4
ictai,20
ictcs,4
ictd,2
icuimc,7
icumt,2
icvs,11
icwe,5
icwl,3
icwmc,1
icwn,2
icws,6
icwsm,7
icycs,6
ida,27
idaacs,5
ideal,8
ideas,4
ideas in ecology and evolution,1
identity in the information society,1
idt,5
iea aie,6
iea/aie,9
iee proc commun,2
iee proc comput dig tech,2
iee proc control theory appl,7
iee proc electr power appl,4
iee proc gener transm distrib,3
iee proc microwave,1
iee proc radar sonar navig,2
iee proc sci meas technol,2
iee proc softw,2
iee proc vis image signal pro,7
iee proceedings a science measurement and technology,1
iee proceedings c generation transmission and distribution,1
iee proceedings d control theory and applications,2
iee proceedings e computers and digital techniques,3
iee proceedings f communications radar and signal processing,1
iee proceedings f radar and signal processing,2
iee proceedings g (electronic circuits and systems),1
iee proceedings g circuits devices and systems,1
iee proceedings i communications speech and vision,1
iee proceedings information security,1
iee proceedings systems biology,1
ieee aerosp elect syst mag,2
ieee antenn wirel propag lett,2
ieee asme trans mechatron,11
ieee circuits devices,1
ieee circuits syst mag,3
ieee commun lett,2
ieee commun mag,3
ieee comput intell mag,10
ieee computer architecture letters,1
ieee computer society,2
ieee d toc,3
ieee electr insul magazine,1
ieee electron dev lett,2
ieee embedded systems letters,1
ieee geosci remote sens lett,7
ieee ind appl mag,1
ieee ind electron mag,2
ieee instrum meas mag,2
ieee intell syst appl,6
ieee intelligent transportation systems magazine,3
ieee j oceanic eng,8
ieee j quantum electron,1
ieee j sel top appl earth obs,9
ieee j sel top quantum electr,3
ieee j sel top signal process,11
ieee j solid state circuits,4
ieee journal on robotics and automation,5
ieee lat am trans,5
ieee magnetics letters,1
ieee microw mag,2
ieee microw wirel compon lett,2
ieee osa journal of optical communications and networking,2
ieee parallel distributed technology systems applications,1
ieee pers commun,1
ieee pervasive computing,3
ieee photonic technol lett,3
ieee photonics journal,1
ieee potentials,2
ieee power energy mag,1
ieee pulse,1
ieee robot automat,10
ieee sap,7
ieee sens j,8
ieee signal process lett,10
ieee signal process mag,8
ieee solid state circuits newsletter,1
ieee syst j,6
ieee t ultrason ferroelectr,5
ieee tcad,5
ieee technol soc mag,1
ieee trans adv packag,2
ieee trans aerosp electron sy,7
ieee trans antennas propagat,4
ieee trans appl superconduct,3
ieee trans biomed circuits sy,4
ieee trans biomed eng,9
ieee trans circuit syst i,11
ieee trans circuit syst ii,7
ieee trans compon packaging t,1
ieee trans consum electron,7
ieee trans control syst techn,9
ieee trans device mater relia,3
ieee trans dielect electr in,2
ieee trans educ,3
ieee trans electromagn compat,2
ieee trans electron devices,3
ieee trans electron packag ma,4
ieee trans energy convers,4
ieee trans eng manage,4
ieee trans geosci remot sen,12
ieee trans ind appl,4
ieee trans magn,4
ieee trans microwave theory,4
ieee trans nanotechnol,3
ieee trans neural syst reh en,5
ieee trans nucl sci,4
ieee trans on broadcast,6
ieee trans plasma sci,2
ieee trans power delivery,4
ieee trans power elect,4
ieee trans power syst,7
ieee trans profess commun,3
ieee trans rehabil eng,3
ieee trans robotics automat,15
ieee trans semiconduct manuf,5
ieee transactions automation science and engineering,9
ieee transactions on affective computing,32
ieee transactions on applications and industry,6
ieee transactions on autonomous mental development,11
ieee transactions on components packaging and manufacturing technology part b,1
ieee transactions on components packaging and manufacturing technology part c,2
ieee transactions on computational intelligence and ai in games,9
ieee transactions on haptics,5
ieee transactions on image processing,31
ieee transactions on industrial informatics,5
ieee transactions on information forensics and security,15
ieee transactions on network and service management,3
ieee transactions on neural networks,47
ieee transactions on power apparatus and systems,1
ieee transactions on services computing,5
ieee transactions on smart grid,3
ieee transactions on sustainable energy,2
ieee wireless communications,2
ieeemm,5
ieej transactions on electrical and electronic engineering,5
ieej transactions on electronics information and systems,6
ieej transactions on industry applications,4
ieej transactions on power and energy,2
ieej transactions on sensors and micromachines,2
ieem,3
ieice,12
ieice electronic express,3
iepol,1
iet circuits devices syst,3
iet comput digit tech,1
iet comput vis,16
iet electr power appl,5
iet gener transm distrib,3
iet image process,10
iet intell transp syst,6
iet microw antennas propag,2
iet nanobiotechnol,1
iet optoelectron,1
iet power electron,2
iet radar sonar navig,3
iet renew power gener,1
iet sci meas technol,2
iet signal process,5
iet software,3
iet software iee proceedings software,2
iet syst biol,2
iete j res,8
iete tech rev,8
ife,2
ifl,3
ifm,3
iforest biogeosciences and forestry,1
igarss,6
igpl,8
igtr,2
ih,3
ihci,3
iicai,6
iie transactions,4
iih-msp,4
iiix,3
iimb management review,1
iis,10
iiswc,3
iita,8
ijahuc,2
ijait,10
ijamc,2
ijaose,5
ijar,47
ijbc,5
ijbidm,5
ijbis,4
ijbra,4
ijcai,28
ijcar,7
ijcat,7
ijcbs,4
ijces,2
ijcga,5
ijcia,17
ijcim,5
ijcini,7
ijcm,7
ijcnlp,13
ijcnn,22
ijcpol,3
ijcsa,5
ijcss,3
ijcv,62
ijdar,34
ijdmb,4
ijdsn,9
ijdwm,5
ijeb,3
ijes,1
ijet,4
ijfcs,3
ijgis,1
ijhci,6
ijhis,7
ijhpca,3
ijhpcn,1
ijhsc,1
ijia,4
ijict,4
ijiem,1
ijig,8
ijigs,3
ijiids,7
ijipt,2
ijiq,1
ijis,26
ijiscm,2
ijista,7
ijitdm,8
ijitm,4
ijitsa,1
ijitsr,1
ijkl,1
ijkm,4
ijlt,3
ijmc,2
ijmms,15
ijmpa,1
ijmpb,2
ijmpc,4
ijmpe,1
ijmr,1
ijmso,6
ijmtm,1
ijns,11
ijnvo,2
ijon,22
ijpeds,4
ijpp,6
ijprai,28
ijrqse,2
ijrr,23
ijsc,5
ijseke,4
ijsm,4
ijsn,3
ijsnet,4
ijswis,7
ijsysc,13
ijtaf,2
ijvr,1
ijwbc,3
ijwet,5
ijwgs,4
ijwin,2
ijwis,4
ijwmc,2
ilp,22
im,3
ima j appl math,1
ima j manag math,2
ima j numer anal,1
ima mci,1
imaging,1
imaging in medicine,1
imaging sci j,4
imc,3
imcs,5
imcsit,6
imds,5
imecs,1
imf economic review,1
imis,2
immun ageing,1
immunogenetics,1
immunol lett,1
immunol res,1
immunol rev,1
immunome res,1
immunopharmacol immunotoxicol,1
impact assess proj apprais,1
implant dent,1
implement sci,1
ims,1
in vivo,1
inap,4
incos,4
ind corp change,1
ind crops products,1
ind eng chem res,3
ind health,1
ind market manag,4
ind robot,8
indagat math new ser,1
indian chemical engineer,1
indian growth dev rev,1
indian j med res,1
indian j pure appl math,1
indian j surg,1
indian journal of marine sciences,1
indian journal of medical sciences,1
indiana journal of global legal studies,1
indocrypt,1
indoor built environ,1
industrial and commercial training,1
industrial metrology,2
industrial relations journal,1
inf technol manag,9
infanc aprendiz,1
infancy,2
infant behav develop,1
infant child dev,3
infec immunity,1
infect control hosp epidemiol,1
infect dis clin n amer,1
infect genet evol,1
inffus,17
inflamm bowel dis,1
inflammation,1
infocom,5
infor,2
inform health soc care,3
inform management,8
informatica,9
informaticasi,4
information,5
information and organization,3
information communication society,2
information communications technology law,5
information design journal,1
information research,1
information resources management journal,3
information sciences applications,3
information security journal a global perspective,2
information security technical report,4
information storage and retrieval,1
information technologies international development,1
information technology and control,3
information technology and libraries,1
information technology for development,1
information technology journal,5
information technology people,4
information technology tourism,4
informs,9
informs transactions on education,1
infoscale,3
infoseccd,1
infosecurity,1
infovis,2
infrared phys technol,5
infsof,7
injury,1
injury extra,1
inlg,8
innov educ teach int,2
innov food sci emerg technol,2
innov manag policy pract,1
innovar,2
innovation,1
innovation in language learning and teaching,1
inquiry,2
inscrypt,2
insect biochem molec biol,1
insect conserv divers,1
insectes soc,1
insight,3
insight journal,1
insights into imaging,1
insk,5
insur math econ,3
int appl mech engl tr,1
int arch occup envir health,1
int biodeterior biodegrad,1
int bus manag,2
int bus rev,1
int commun heat mass trans,2
int dairy j,1
int dent j,1
int environ agreem polit la e,1
int fem j polit,2
int immunopharmacol,1
int inf libr rev,1
int j adapt control signal pr,7
int j adhes adhes,1
int j adv manuf technol,8
int j adv robot syst,6
int j aging human develop,1
int j amer linguist,1
int j antimicrobial agents,1
int j appl earth obs geoinf,5
int j archit herit,1
int j astrobiol,1
int j audit,1
int j automot technol,4
int j aviat psychol,2
int j biling,1
int j bio med comput,4
int j biochem cell biol,1
int j biol macromol,1
int j biometeorol,1
int j bus govern ethics,1
int j bus process integrat manag,2
int j bus syst res,1
int j cancer,1
int j cardiac imaging,2
int j cardiovasc imaging,2
int j chem react eng,2
int j circuit theor appl,5
int j climatol,3
int j cloth sci technol,2
int j coal geol,2
int j coal prep util,1
int j colorectal dis,1
int j commerce manag,3
int j communication systems,3
int j comp support collab lea,3
int j comput fluid dynamics,1
int j comput intell syst,12
int j confl management,1
int j consum stud,1
int j contemp hosp manag,1
int j contr,6
int j control autom syst,10
int j corpus linguist,3
int j crashworthiness,1
int j data anal tech strat,4
int j dev biol,1
int j dev neurosci,2
int j digit earth,2
int j drug policy,1
int j earth sci,1
int j eating disorder,1
int j educ dev,1
int j electron,4
int j electron commer,7
int j energ res,2
int j eng sci,1
int j engine res,1
int j environ pollution,2
int j environ res public heal,2
int j epidemiol,1
int j equity health,1
int j fatigue,2
int j financ econ,1
int j food eng,1
int j food microbiol,3
int j food prop,1
int j food sci nutr,1
int j food sci technol,1
int j forecasting,8
int j fracture,1
int j game theory,1
int j gen system,9
int j geom methods mod phys,1
int j gerontol,2
int j global energ issues,1
int j green energy,2
int j greenh gas control,2
int j gynecol cancer,1
int j gynecol obstet,1
int j health care financ econ,1
int j health geogr,2
int j health plan manage,1
int j heat mass transfer,3
int j hosp manag,3
int j hum resour manag,2
int j hydrogen energ,3
int j hyg environ health,1
